author,about_auth
EMILY DICKINSON,"Arguably America�s greatest poet, Emily Dickinson (1830�1886) published fewer than a dozen of her eighteen hundred poems during her lifetime.Jen Bervin�s work includes The Dickinson Composites, The Desert, and Nets.Marta Werner�s books include Emily Dickinson�s Open Folios: Scenes of Reading, Surfaces of Writing and Radical Scatters: An Electronic Archive of Emily Dickinson�s Late Fragments and Related Texts.                        "
ERIC VON DANIKEN,"Erich von Daniken is the author of the worldwide bestseller Chariots of the Gods and its follow-up, The Eyes of the Sphinx, in addition to over two dozen other books.William Dufris has been nominated nine times as a finalist for the APA's prestigious Audie Award and has garnered twenty-one Earphones Awards from AudioFile magazine, which also named him one of the Best Voices at the End of the Century. He has also acted on stage and television in the United States, the United Kingdom, and Germany.                        "
ERIC WILSON,"Eric Wilson and his wife, Carolyn Rose, live with their two energetic daughters in Nashville, Tennessee. The author of Dark to Mortal Eyes and Expiration Date, Eric has traveled in numerous countries, feeding his love of the outdoors and his need to explore. This is the first book in the Aramis Black series.                        "
"FORT, CHARLES","Charles Fort's books include We Did Not Fear the Father: New and Selected Poems (Red Hen Press, 2012), MRS. BELLADONNA'S SUPPER CLUB WALTZ (The Backwaters Press, 2013), and The Town Clock Burning (Carnegie Mellon University Press, Classic Contemporary Series). Fort's poems have appeared in such journals, periodicals, and anthologies as The Best American Poetry 2003, The Best American Poetry 2000, Best of Prose Poem International, and The American Poetry Review. He is the founder of the Wendy Fort Foundation Theater of the Arts. A past MacDowell fellow, Fort is currently at work on a novel: The Last Black Hippie in Connecticut.                        "
FRITZ LEIBER,"Neil Gaiman is the author of many bestsellers for readers of all ages including Stardust (the basis for the blockbuster movie), Fragile Things, Anansi Boys, Interworld, and Coraline. He lives in Minneapolis, Minnesota. Fritz Leiber is considered one of science fiction's legends. Author of a prodigious number of stories and novels, many of which were made into films, he is best known as creator of the classic Lankhmar fantasy series. Fritz Leiber has won awards too numerous to count including the coveted Hugo and Nebula, and was honored as a lifetime Grand Master by the Science Fiction Writers of America. He died in 1992                        "
GEORGE ORWELL,"Eric Arthur Blair (1903-1950), much better known by the pen name George Orwell, was a British author, journalist and socialist. In December 1936, Orwell went to Spain to fight for the Republican side in the Spanish Civil War against Francisco Franco's Nationalist uprising. He is best known for two novels written towards the end of his short life: Animal Farm and Nineteen Eighty-Four.                        "
GRAHAM MCNAMEE,"GRAHAM McNAMEE is the award-winning author of five novels, including Sparks, which won the first PEN/Phyllis Naylor Working Writer Fellowship; Bonechiller; and Acceleration, winner of the Edgar Award for Best Young Adult Mystery.                        "
GWYNETH LEWIS,"Gwyneth Lewis is a writer, a poet, and the recipient of the Aldeburgh Poetry Festival Prize and a Mental Health in the Media Award. She is the author of Sunbathing in the Rain: A Cheerful Book on Depression, Two in a Boat: A Marital Voyage, and six books of poetry. She is a fellow at Harvard University, a fellow of the Royal Society of Literature, and an honorary fellow of Cardiff University.                        "
"HARRIS, CLARE WINGER","Clare Winger Harris (1891�1968) was an early science fiction writer whose short stories were published during the 1920s. She is credited as the first woman to publish stories under her own name in science fiction magazines. Her stories often dealt with characters on the borders of humanity such as cyborgs. A native of Illinois, she died in Pasadena, California at age seventy-seven.                        "
HELENA P BLAVATSKY,"According to her own story as told to a later biographer, she spent the years 1848 to 1858 traveling the world. She visited Egypt, France, Canada (Quebec), England, South America, Germany, Mexico, India, Greece and especially Tibet, where she studied for two years with the ascetics, to whom she referred as Brothers. She was initiated for theosophical work while in Tibet.                        "
HELENA PETROVA BLAVATSKY,"H. P. Blavatsky (1831-1891) was a theosophist, mystic and co-founder of the Theosophical Society. She has been dubbed the mother of the new age for the profound effect her promulgation of eastern mysticism has had on the spiritual thought of the west. Biography: http://www.universaltheosophy.com/bios/blavatsky/ Collected Writings: http://www.universaltheosophy.com/writings-hpb/                        "
HELENA PETROVNA BLAVATSKY,"H. P. Blavatsky (1831-1891) was a theosophist, mystic and co-founder of the Theosophical Society. She has been dubbed the mother of the new age for the profound effect her promulgation of eastern mysticism has had on the spiritual thought of the west. Biography: http://www.universaltheosophy.com/bios/blavatsky/ Collected Writings: http://www.universaltheosophy.com/writings-hpb/                        "
HENRY DAVID THOREAU,"Henry David Thoreau was born in Concord, Massachusetts in 1817. He graduated from Harvard in 1837, the same year he began his lifelong Journal. Inspired by Ralph Waldo Emerson, Thoreau became a key member of the Transcendentalist movement that included Margaret Fuller and Bronson Alcott. The Transcendentalists' faith in nature was tested by Thoreau between 1845 and 1847 when he lived for twenty-six months in a homemade hut at Walden Pond. While living at Walden, Thoreau worked on the two books published during his lifetime: Walden (1854) and A Week on the Concord and Merrimack Rivers (1849). Several of his other works, including The Maine Woods, Cape Cod, and Excursions, were published posthumously. Thoreau died in Concord, at the age of forty-four, in 1862.Paul Theroux, an internationally acclaimed travel writer, is also the author of over two dozen novels and works of non-fiction. He divides his time between Cape Cod and the Hawaiian Islands.                        "
HENRY JAMES,"American author Henry James (1843�1916) spent most of his career in Europe and ultimately adopted British citizenship. A prolific writer of criticism, biography, and travel-related books and articles, James is known above all for his highly influential novels, which frequently explore the clash of Old and New World cultures.                        "
HERMAN MELVILLE,"Herman Melville (1819-1891) was an American novelist, short story writer, essayist, and poet who received wide acclaim for his earliest novels, such as Typee and Redburn, but fell into relative obscurity by the end of his life. Today, Melville is hailed as one of the definitive masters of world literature for novels including Moby Dick and Billy Budd, as well as for enduringly popular short stories such as Bartleby, the Scrivener and The Bell-Tower.                         "
"HODGSON, WILLIAM HOPE","English author Hodgson is famous for his contribution to the genre of horror and fantastic fiction. His writings are reflective of his power of expression. He was also a poet, photographer and a sailor.                        "
IGNATIUS DONNELLY,"Ignatius Loyola Donnelly (November 3, 1831 � January 1, 1901) was a U.S. Congressman, populist writer and amateur scientist, known primarily now for his theories concerning Atlantis, Catastrophism (especially the idea of an ancient impact event affecting ancient civilizations), and Shakespearean authorship, which many modern historians consider to be pseudoscience and pseudohistory. He was the son of an Irish immigrant who had settled in Philadelphia, Pennsylvania. He was admitted to the prestigious Central High School, the second oldest public high school in the United States. There he studied under the presidency of John S. Hart, excelling primarily in literature. He then decided to become a lawyer, and became a clerk for Benjamin Brewster, who later became Attorney-General of the United States. He was admitted to the bar in 1852. In 1855, he married Katherine McCaffrey, with whom he had three children. In 1855, he resigned his clerkship, entered politics and participated in communal home building schemes. Together with several partners, he initiated a utopian community called Nininger City.                        "
J M LANDELS,"In addition to her work as a writer, editor, artist, and publisher, JM Landels teaches swordplay and riding � sometimes both at the same time � in Richmond, BC. She draws on this experience, as well as her time as a rock musician and childbirth educator, to inform her debut fantasy novel, Allaigna�s Song: Overture.                        "
JACK VANCE,"Jack Vance, born John Holbrook Vance in 1916, was one of the greatest masters of fantasy and science fiction. He was the winner of many awards for his work and career: the Damon Knight Memorial Grand Master Award from the Science Fiction and Fantasy Writers of America, and the World Fantasy Award for Life Achievement. Among his awards for particular works were the Hugo award in 1963 for The Dragon Masters, in 1967 for The Last Castle, and in 2010 for his memoir This is Me, Jack Vance! He won a Nebula Award in 1966 for The Last Castle. He won the World Fantasy Award for Best Novel in 1990 for Lyonesse: Madouc. He also won an Edgar for the best first mystery novel in 1961 for The Man in the Cage. Vance published more than 60 books in his career, sometimes under pseudonyms. Among them were 11 mystery novels, three of them as Ellery Queen. He wrote some of the first, and perhaps best, examples of planetary adventures, including a novel called Big Planet. His Dying Earth series were among the most influential fantasy novels ever written, inspiring both generations of writers, and the creators of Dungeons and Dragons. Vance s series from Tor include The Demon Princes, The Cadwal Chronicles, The Dying Earth, The Planet of Adventure, and Alastor. Vance s last novels were a series of two: Ports of Call and Lurulu.Jack Vance was a sailor, a writer, an adventurer, a music critic, and a raconteur. He died in May 2013.                        "
JAMES HENRY GRAY,"James Gray, one of western Canada's finest social historians, was born in Whitemouth, Manitoba, in 1906. We worked for the Winnipeg Free Press for many years and went on to edit several other publications. In 1947, he relocated to Calgary, where he worked with the Home Oil Company for twenty years before retiring to embark on a new career as a historian. He passed away on 12 November 1998 in Calgary at the age of ninety-two.                         "
JANE AUSTEN,"Born December 16, 1775, Jane Austen is one of the most celebrated authors of the English language. Her fiction is known for its witty satires on English society. Austen wrote anonymously during her life and wasn't widely recognized as a great English writer until after her death in 1817.                        "
JANE JACKMAN,"Jane Jakeman is a well-known journalist and art historian and has worked for Oxford University Press. She is also the author of two 19th-century novels starring Lord Ambrose, The Egyptian Coffin and Let There Be Blood                        "
JONATHAN LAPOMA,"Jonathan LaPoma is an award-winning, best-selling novelist, screenwriter, songwriter, and poet from Buffalo, NY. In 2005, he received a BA in history and a secondary education credential from the State University of New York at Geneseo, and he traveled extensively throughout the United States and Mexico after graduating. These experiences have become the inspiration for much of his writing, which often explores themes of alienation and misery as human constructions that can be overcome through self-understanding and the acceptance of suffering. LaPoma has written four novels, twelve screenplays, and hundreds of songs and poems. His screenplays have won over 150 awards/honors at various international screenwriting competitions, and his black comedy script HARM FOR THE HOLIDAYS was optioned by Warren Zide along with Wexlfish Pictures (AMERICAN PIE, FINAL DESTINATION, THE BIG HIT) in July 2017. LaPoma's novels have been recommended by Kirkus Reviews and Barnes and Noble (B&N Press Presents list), have hit the #1 Amazon Bestseller lists in the Satire, Urban Life, Metaphysical, Metaphysical & Visionary, and Religious & Inspirational Kindle categories (USA, Canada, and Australia), and have won awards/honors in the 2018 Eric Hoffer Book Award, the 2016 and 2017 Florida Authors and Publishers Association President's Awards, and the 2015 Stargazer Literary Prizes. He lives in San Diego, CA and teaches at a public secondary school.                        "
JOSEPH CAMPBELL,"Joseph Campbell was an American author and teacher best known for his work in the field of comparative mythology. He was born in New York City in 1904, and from early childhood he became interested in mythology. He loved to read books about American Indian cultures and frequently visited the American Museum of Natural History in New York, where he was fascinated by the museum�s collection of totem poles. Campbell was educated at Columbia University, where he specialized in medieval literature, and, after earning a master�s degree, continued his studies at universities in Paris and Munich. Throughout his life, he traveled extensively and wrote prolifically, authoring many books, including the four-volume series The Masks of God, Myths to Live By, The Inner Reaches of Outer Space, and A Skeleton Key to Finnegans Wake. Campbell died in 1987. In 1988, a series of television interviews with Bill Moyers, The Power of Myth, introduced his views to millions of people.                        "
JULES VERNE,"Julio Verne (Nantes, 8 de febrero de 1828 Amiens, 24 de marzo de 1905), fue un escritor franc�s de novelas de aventuras. Es considerado junto a H. G. Wells uno de los padres de la ciencia ficci�n. Es el segundo autor m�s traducido de todos los tiempos, despu�s de Agatha Christie, con 4.185 traducciones, de acuerdo al Index Translationum. Algunas de sus obras han sido adaptadas al cine. Predijo con gran exactitud en sus relatos fant�sticos la aparici�n de algunos de los productos generados por el avance tecnol�gico del siglo XX, como la televisi�n, los helic�pteros, los submarinos o las naves espaciales. Fue condecorado con la Legi�n de Honor por sus aportes a la educaci�n y a la ciencia.                        "
KRISS STEPHENS,"Kriss Stephens lives in the New Orleans area. When not investigating hauntings for her next book or speaking at conferences, she can be found in the woods looking for her latest obsession; bigfoot.                        "
"LANG, ANDREW","Andrew Lang (March, 31, 1844 July 20, 1912) was a Scottish writer and literary critic who is best known as a collector of folk and fairy tales. Lang s academic interests extended beyond the literary and he was a noted contributor to the fields of anthropology, folklore, psychical research, history, and classic scholarship, as well as the inspiration for the University of St. Andrew s Andrew Lang Lectures. A prolific author, Lang published more than 100 works during his career, including twelve fairy books, in which he compiled folk and fairy tales from around the world. Lang s Lilac Fairy and Red Fairy books are credited with influencing J. R. R. Tolkien, who commented on the importance of fairy stories in the modern world in his 1939 Andrew Lang Lecture On Fairy-Stories.                        "
LEIGH BRACKETT,"Kirby Heyborne is an accomplished actor, musician, and comedian who has received a number of AudioFile Earphones Awards for his audiobook narrations. He has had starring roles in over a dozen features and many short films. Kirby is also a cofounder and director of the Los Angeles-based improv comedy group The Society.                        "
"LEIGH, BRACKETT","Kirby Heyborne is an accomplished actor, musician, and comedian who has received a number of AudioFile Earphones Awards for his audiobook narrations. He has had starring roles in over a dozen features and many short films. Kirby is also a cofounder and director of the Los Angeles-based improv comedy group The Society.                        "
LIN CARTER,If JRR Tolkien was the single author most responsible for the existence of Fantasy as a modern publishing genre then the single editor and critic with the same claim was Lin Carter. His tireless advocacy of both modern fantasy writers and their historical forbears as the first editor on the Ballantine Adult Fantasy series was hugely influential.                        
LORD DUNSANY,"Edward John Moreton Drax Plunkett, 18th Baron Dunsany (1878�1957), inherited one of the oldest titles in the Peerage of Ireland. Lord Dunsany, who lived much of his life at Dunsany Castle in County Meath, was a prolific writer of novels, short stories, plays, essays, and autobiography. He is best known for his fantasy novels and stories, and his writing influenced the works of J.R.R. Tolkien, C.S. Lewis, H.P. Lovecraft, and Ursula K Le Guin, among others.Michael Grenke teachs at St. John's College in Annapolis, Maryland."
M HAGUE,"Michael Hague has illustrated more than twenty children's classics, including lavish editions of A Wind in the Willows Christmas , The Wizard of Ox , and Alice's Adventures in Wonderland . He lives in Colorado Springs, Colorado.                        "
MARK TWAIN,"Mark Twain (1835-1910) grew up in Hannibal Missouri. He began his career as a journeyman printer and journalist. His youthful experiences along the Mississippi inspired some of his most famous works�and The Adventures of Huckleberry Finn. In addition to his well-known works of fiction, he was also a prolific travel writer. Among his best-known works is Life on the Mississippi. He was also a star of the lecture circuit.                        "
MEL ANASTASIOU,"Mel Anastasiou loves her writing life in the UK and BC. She is senior acquisitions editor with Pulp Literature Press and writes mysteries starring sleuths who are often fish out of water and gifted amateur detectives. Mel can be found every day writing and drawing, walking for miles to look at inspired Victorian architecture, and dreaming of swans and crimes for her octagenarian sleuth, Stella Ryman, to solve. For news on her books, information about speaking engagements, tips on structure, and keys to time management for writers, visit her website, melanastasiou.wordpress.com                        "
MICHAEL MOORCOCK,"Michael Moorcock has written more than eighty books, fiction and non-fiction, including The Cornelius Quartet, Gloriana, Mother London and the legendary Pyat Quartet: Byzantium Endures, The Laughter of Carthage, Jerusalem Commands and The Vengeance of Rome. He is also the author of The Condition of Muzak which won the Guardian Fiction Prize, and Mother London, which was shortlisted for the Whitbread Prize. He lives in France and Texas.                        "
MIKE MASON,"Mike Mason is the best-selling author of The Mystery of Marriage, The Gospel According to Job, and Practicing the Presence of People. He and his wife, Karen, an M.D. in general practice, live in Langley, British Columbia, Canada, with their amazing daughter, Heather.                        "
"MILLER, ARTHUR","Arthur Miller was born in New York City in 1915 and studied at the University of Michigan. His plays include All My Sons (1947), Death of a Salesman (1949), The Crucible (1953), A View from the Bridge and A Memory of Two Mondays (1955), After the Fall (1963), Incident at Vichy (1964), The Price (1968), The Creation of the World and Other Business (1972) and The American Clock. He has also written two novels, Focus (1945), and The Misfits, which was filmed in 1960, and the text for In Russia (1969), Chinese Encounters (1979), and In the Country (1977), three books of photographs by his wife, Inge Morath. More recent works include a memoir, Timebends (1987), and the plays The Ride Down Mt. Morgan (1991), The Last Yankee (1993), Broken Glass (1993), which won the Olivier Award for Best Play of the London Season, and Mr. Peter's Connections (1998). His latest book is On Politics and the Art of Acting. Miller was granted with the 2001 Medal for Distinguished Contribution to American Letters. He has twice won the New York Drama Critics Circle Award, and in 1949 he was awarded the Pulitzer Prize.                        "
"MOORCOCK, MICHAEL","Born in London in 1939, Michael Moorcock now lives in Texas. A prolific and award-winning writer with more than eighty works of fiction and non-fiction to his name, he is the creator of Elric, Jerry Cornelius and Colonel Pyat, amongst many other memorable characters. In 2008, The Times �named Moorcock in their list of The 50 greatest British writers since 1945.                        "
NATHANIEL HAWTHORNE,"Nathaniel Hawthorne (1805�64) was an American novelist and short story writer. He was born in Salem, Massachusetts, and graduated from Bowdoin College. His first novel,�Fanshawe,�was published anonymously in 1828, followed by several collections of short stories, including�Twice-Told Tales�and�Mosses from an Old Manse.�His later novels include�The Scarlet Letter, The House of the Seven Gables, The Blithedale Romance,�and�The Marble Faun.                        "
NOAH TSIKA,"Noah Tsika is a Ph.D. candidate in Cinema Studies at New York University, Tisch School of the Arts and the author of numerous articles and book chapters on film, television, and new media. He lives in New York.                        "
OSCAR WILDE,"Known for his barbed wit, Oscar Wilde was one of the most successful late-Victorian playwrights and a great celebrity. The Importance of Being Earnest and The Picture of Dorian Gray are among his best known works. He is perhaps most famous for his trial, in which he eloquently defended homosexual love and was sentenced to two years of hard labor.                        "
PAOLO SEDAZZARI,"Paolo has worked in media sales, as a journalist, a film-maker and a promoter of raves. His debut feature film, the black comedy horror The Toybox, was released on DVD to some critical acclaim, and is available for viewing for free (and legally) on www.hulu.com . Recent work includes Everyone�s Wally a biographical documentary about Wally Hope the founder of the Stonehenge free festivals, who died under mysterious circumstances in 1975. The BMX Kid & the River Cult Murders is his first crime novel, based on a real life murder case and drawing on his experiences of working at the court house of Walton-on-Thames. Paolo lives in West London with his wife, Sarah, and two cats � Dougie and Tallulah.                        "
PAUL BRADLEY STERMAN,"Paul Bradley Sterman has been writing since he was a child. While mostly a writer of music, poetry, and short stories, his creativity and wild imagination has led to this novel. Being an LA native, Paul is first and foremost a creative spirit, continually striving to be innovative and artistic. As a writer, he has been published in IN-LA Magazine, and as an international pop-music composer/lyricist throughout Europe. Paul�s writing also includes musical theater: book, lyrics and music of the musical, CHASING DREAMS, an original pop/rock/Broadway style musical. The Spirit King � A Destiny Awakens, is Book One of a series planned for the future, as the story unfolds with more excitement, enlightenment and adventure. Stay tuned!                        "
PAUL PARK,"PAUL PARK lives in North Adams, MA                        "
"POLIDORI, JOHN WILLIAM",John William Polidori (7 September 1795 � 24 August 1821) was an English writer and physician. He is known for his associations with the Romantic movement and credited by some as the creator of the vampire genre of fantasy fiction.                        
RICHARD HICKS,"Richard Hicks is a former trial attorney. When not sailing or traveling, he resides with his wife in Cardiff-by-the-Sea, California.                        "
ROZANNE LANCZAK WILLIAMS,"Williams, a former elementary school teacher of 14 years, is a full-time mom and freelance writer.                        "
SHELLEY MOORE THOMAS,"Jennifer Plecas lives in Blue Springs, Missouri.                        "
SHELLEY PETERSON,"Shelley Peterson is the bestselling author of several published novels for young readers, including Stagestruck, Sundancer, Christmas at Saddle Creek, and Jockey Girl. She raises horses at Fox Ridge, her family�s stable in Caledon.Shelley Peterson is the bestselling author of several published novels for young readers, including Sundancer, Christmas at Saddle Creek, and Jockey Girl. She raises horses at Fox Ridge, her family�s stable in Caledon.                        "
SIR THOMAS MALORY,"Marcia Williams is a successful author/illustrator and, with her distinctive cartoon-strip style, has now illustrated and retold many literary classics for children, including The Adventures of Robin Hood (9781406311372), Greek Myths (9781406303476) and Oliver Twist and Other Great Dickens Stories (9781406305630). Her latest books are Archie's War (9781406304275), a child's diary of the First World War and My Secret War Diary by Flossie Albright (9781406309409), a Second World War journal. Marcia lives in Barnes, London.                        "
STEPHANIE EMILY DICKINSON,"Stephanie Emily Dickinson, raised on an Iowa farm, now lives in New York City. She graduated with an MFA from the University of Oregon. Her work appears in Hotel Amerika, Mudfish, Weber Studies, Fjords, Water-Stone Review, Gargoyle, Rhino, Stone Canoe, Westerly, and New Stories from the South, among others. Heat: An Interview with Jean Seberg is available from New Michigan Press. Her novel Half Girl and novella Lust Series are published by Spuyten Duyvil, as is her recent novel Love Highway, based on the 2006 Jennifer Moore murder. Her latest book is GIRL BEHIND THE DOOR (Rain Mountain Press, 2017). Her work has received multiple distinguished story citations in the Pushcart Anthology, Best American Short Stories, and Best American Mysteries. She is the editor of Rain Mountain Press. She shares an East Village walk-up with the poet Rob Cook and two felines, Sally Joy and Vallejo.                        "
SUZANNE CHURCH,"Suzanne Church lives near Toronto, Ontario with her two teenaged sons. She is a 2011 and 2012 Aurora Award finalist for her short fiction. She writes Science Fiction, Fantasy, and Horror because she enjoys them all and hates to play favourites. When cornered she becomes fiercely Canadian. Her stories have appeared in Cicada, Clarkesworld, and On Spec, and in several anthologies including Chilling Tales: Evil Did I Dwell; Lewd I Did Live and Tesseracts 14.                         "
THOMAS BULFINCH,"American author Thomas Bulfinch (1796�1867) was steeped in classical culture from an early age, attending the Boston Latin School, Phillips Exeter Academy, and Harvard College. His first book, The Age of Fable, told of gods and heroes as portrayed in the works of Ovid and Virgil. It was later combined with The Age of Chivalry and Legends of Charlemagne in a single volume known as Bulfinch's Mythology, which has entertained and educated generations of children and adults.                        "
TOM ALVAREZ,"Tom Alvarez creates the daily comic strip Sherlock Holmes, which appears in newspapers around the US. He lives in Port Charlotte, Florida.                        "
WILLIAM BLAKE,"Largely unrecognized during his lifetime, William Blake was a visionary English poet, painter, and printmaker. His wide-ranging influence can be seen in genres from theology and literature to popular music and graphic novels.                        "
WILLIAM CARROLL,"So who was Carroll. From a dishwasher out of High School, to magazine photographer, then an unusual education in a fort, on an island commanded by an Admiral. From then on it was one adventure after the other including sniper bullets on boulders in a California park and 24-hour police protection to keep his head from being pounded. His story is more than just history.                        "
WILLIAM HOPE HODGSON,"English author William Hope Hodgson (1877�1918) drew upon his experiences as a sailor to enliven his tales of the sea. Inspired by the stories of H. G. Wells and Edgar Allan Poe, he wrote works of horror, science fiction, and fantasy in addition to essays and poetry.                        "
WILLIAM SHAKESPEARE,Michael Neill is Associate Professor of English at Aukland University.                        
